industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning
AI Infrastructure,6,6,0.068943,0.103515,0.064567,0.229024,19257760.166667,15326119.433333,12191069.025000,1.933474,200.450333,197.854833,191.585071,-0.073908,5.000000,0.000000,1,,False
Adtech,6,6,-0.000281,0.045970,0.029173,0.177215,4771139.222222,4948496.866667,4645601.716667,1.160111,108.054666,105.836333,103.961250,-0.028813,5.666667,0.000000,0,,False
Cloud Software,6,6,-0.008506,0.015399,-0.040470,0.032909,8172587.055556,8826378.900000,10710003.058333,0.858094,157.272335,155.264168,152.897834,-0.041846,5.166667,0.000000,0,,False
Consumer Platforms,6,6,-0.005819,0.006936,-0.045768,0.023492,19534708.277778,16436511.633333,14334962.075000,1.532812,155.185333,159.536000,164.837209,-0.072347,4.166667,0.000000,0,,False
Cybersecurity,6,6,0.015942,0.020644,0.005888,0.072865,3494804.277778,3664025.900000,4336555.641667,0.915162,161.581000,159.674833,153.621916,-0.027278,5.666667,0.000000,0,,False
Defense Drones,5,5,-0.020144,-0.015221,-0.087238,-0.144713,2563356.466667,2498521.880000,2503420.470000,1.080410,258.477997,262.420798,278.584000,-0.087965,2.800000,0.000000,0,,False
Defensive Healthcare,6,6,-0.005483,-0.000707,-0.002783,-0.021452,13230506.500000,13439797.233333,12747760.141667,0.937228,169.930668,168.984667,167.340439,-0.037505,4.500000,0.000000,0,,False
Defensive Staples,6,6,-0.002266,0.012807,0.030623,0.014659,7494722.055556,8027079.900000,8616398.308333,0.961428,268.074334,266.970547,265.237894,-0.025718,5.833333,0.000000,0,,False
Energy Nuclear,6,6,0.063814,0.129029,0.036917,0.156029,8262500.611111,7746467.033333,9542810.091667,1.346614,139.226334,138.014667,134.856084,-0.097770,4.500000,0.000000,1,,False
Fintech,6,6,-0.004165,0.035102,-0.070954,0.112117,21358860.277778,22335766.166667,22600198.208333,0.995176,78.975668,79.254083,78.582250,-0.095741,4.666667,0.000000,0,,False
Market ETFs,6,6,0.020374,0.037131,0.033652,0.091123,20236159.666667,21336632.466667,21676011.450000,0.987243,533.009333,528.518166,520.461667,-0.009858,5.666667,0.000000,0,,False
Robotics Automation,6,6,0.064139,0.114579,0.028260,0.090073,2302802.055556,2151837.900000,1819438.641667,1.623667,262.232667,263.707167,263.821416,-0.087106,5.500000,0.000000,0,,False
Semiconductors,6,6,0.098783,0.125248,0.157344,0.341222,49043167.666667,48278920.600000,45244062.650000,1.323776,571.126669,557.955718,540.523464,-0.055960,5.833333,0.000000,1,,False
Space,6,6,0.034566,0.099122,-0.069675,0.039633,9846706.444444,9705997.200000,12273566.800000,0.748573,42.679000,42.785833,43.965750,-0.124629,4.000000,0.000000,0,,False
