ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-22,251,0.087936,0.084948,0.086478,-0.129331,10597400.000000,9845500.000000,12631935.000000,0.835549,145.280002,143.584000,153.055499,-0.049523,4,True,False,False,False,0.026082,infrastructure_leader,5,0.006367,-0.133348,0.740927,momentum_leader,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,strong_uptrend,avoid_for_now,10554600,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-22,251,0.014971,-0.117216,-0.036797,0.012366,5341866.666667,6630360.000000,5715515.000000,0.838122,325.778003,348.110004,339.121501,-0.160965,5,False,False,False,True,-0.097194,infrastructure_leader,5,-0.034387,-0.129628,0.820842,momentum_leader,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,extended,extended,falling_knife,avoid_for_now,4790300,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-22,251,0.254739,0.219844,0.133341,0.366051,8221600.000000,6776020.000000,6278950.000000,2.429849,252.841998,248.393999,234.405499,-0.050950,5,True,False,False,True,0.072945,challenger,5,0.259313,0.000000,1.000000,momentum_leader,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,too_extended,15256900,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-22,251,0.152054,0.135348,0.198724,0.334517,17941466.666667,16143700.000000,15790410.000000,1.944661,34.194000,33.135000,31.186500,-0.044243,5,True,False,False,True,0.138328,non_leader,5,0.205009,0.000000,1.000000,momentum_leader,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,avoid_for_now,30707000,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-22,251,0.164267,0.146263,0.005937,0.223521,35185866.666667,31079260.000000,38189000.000000,1.030954,32.782000,32.629000,31.080000,-0.088306,3,True,False,False,True,-0.054459,challenger,5,0.144788,-0.413935,0.374565,momentum_leader,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,extended,reasonable_pullback,extended,overextended,too_extended,39371100,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-22,251,0.052356,-0.020253,-0.025304,-0.074279,2323933.333333,2557320.000000,2954885.000000,0.796478,381.260004,394.131003,404.274361,-0.112458,6,False,False,False,True,-0.085701,infrastructure_leader,5,-0.031969,-0.093713,0.656614,momentum_leader,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,2353500,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-22,251,-0.023934,-0.044337,0.000604,0.033898,185309900.000000,168631760.000000,162604985.000000,1.035308,220.248001,222.835002,214.745501,-0.086578,5,False,False,False,True,-0.049973,core_leader,5,0.002722,-0.086578,0.804653,neutral,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,not_eligible_industry,168346300,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-22,251,0.129115,0.102358,0.027066,0.344153,32683600.000000,33047960.000000,42390425.000000,0.817668,439.943994,442.610001,405.896001,-0.097517,5,True,False,False,True,-0.023511,challenger,5,0.151798,0.000000,1.000000,neutral,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,not_eligible_industry,34661300,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-22,251,0.007468,-0.025988,-0.036884,-0.020390,15746666.666667,17151080.000000,18613525.000000,0.755478,415.650006,420.775003,419.090001,-0.065304,2,False,False,False,False,-0.087460,core_leader,5,-0.011811,-0.058323,0.879526,neutral,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,sideways_base,not_eligible_industry,14062100,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-22,251,0.030335,0.000420,-0.017392,0.005119,8762900.000000,10497780.000000,13369850.000000,0.530784,400.369995,402.553998,402.588498,-0.060112,4,True,False,False,False,-0.067969,core_leader,5,0.004798,-0.035709,0.934832,neutral,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,7096500,ok,資料日期與本次市場日期一致。
